snapshot,link_A_usage_rate,link_B_usage_rate,link_C_usage_rate,link_D_usage_rate,link_E_usage_rate,link_F_usage_rate
106,41.990964,0.0,41.9909573,6e-06,0.0,0.0114315
107,41.990964,0.0,41.9909573,6e-06,0.0,0.0114315
108,41.990964,0.0,41.9909573,6e-06,0.0,0.0114315
109,41.990964,0.0,41.9909573,6e-06,0.0,0.0114315
110,0.0,0.0,6e-06,6e-06,0.0,0.0
111,0.0,0.0,6e-06,6e-06,0.0,0.0
112,0.0,0.0,6e-06,6e-06,0.0,0.0
113,0.0,0.0,6e-06,6e-06,0.0,0.0
114,0.0,0.0,6e-06,6e-06,0.0,0.0
115,0.0,0.0,6e-06,6e-06,0.0,0.0
116,0.0,0.0,6e-06,6e-06,0.0,0.0
117,0.0,0.0,6e-06,6e-06,0.0,0.0
118,0.0,0.0,6e-06,6e-06,0.0,0.0
119,0.0,0.0,6e-06,6e-06,0.0,0.0
120,784.7726966,0.0,784.7734306,3.4e-06,0.0,0.2077018
121,784.7726966,0.0,784.7734306,3.4e-06,0.0,0.2077018
122,784.7726966,0.0,784.7734306,3.4e-06,0.0,0.2077018
123,784.7726966,0.0,784.7734306,3.4e-06,0.0,0.2077018
124,784.7726966,0.0,784.7734306,3.4e-06,0.0,0.2077018
125,784.7726966,0.0,784.7734306,3.4e-06,0.0,0.2077018
126,784.7726966,0.0,784.7734306,3.4e-06,0.0,0.2077018
127,784.7726966,0.0,784.7734306,3.4e-06,0.0,0.2077018
128,784.7726966,0.0,784.7734306,3.4e-06,0.0,0.2077018
129,0.0,0.0,6e-06,6e-06,0.0,0.0
130,0.0,0.0,6e-06,6e-06,0.0,0.0
131,0.0,0.0,6e-06,6e-06,0.0,0.0
132,0.0,0.0,6e-06,6e-06,0.0,0.0
133,0.0,0.0,6e-06,6e-06,0.0,0.0
134,0.0,0.0,6e-06,6e-06,0.0,0.0
135,0.0,0.0,6e-06,6e-06,0.0,0.0
136,0.0,0.0,6e-06,6e-06,0.0,0.0
137,0.0,0.0,6e-06,6e-06,0.0,0.0
138,0.0,0.0,6e-06,6e-06,0.0,0.0
139,575.63955,0.0,575.6389365,6e-06,0.0,0.1523927
140,575.63955,0.0,575.6389365,6e-06,0.0,0.1523927
141,575.63955,0.0,575.6389365,6e-06,0.0,0.1523927
142,575.63955,0.0,575.6389365,6e-06,0.0,0.1523927
143,575.63955,0.0,575.6389365,6e-06,0.0,0.1523927
144,575.63955,0.0,575.6389365,6e-06,0.0,0.1523927
145,575.63955,0.0,575.6389365,6e-06,0.0,0.1523927
146,575.63955,0.0,575.6389365,6e-06,0.0,0.1523927
147,575.63955,0.0,575.6389365,6e-06,0.0,0.1523927
148,575.63955,0.0,575.6389365,6e-06,0.0,0.1523927
149,728.399213,0.0,728.3997199,0.0,0.0,0.1930526
150,728.399213,0.0,728.3997199,0.0,0.0,0.1930526
151,728.399213,0.0,728.3997199,0.0,0.0,0.1930526
152,728.399213,0.0,728.3997199,0.0,0.0,0.1930526
153,728.399213,0.0,728.3997199,0.0,0.0,0.1930526
154,728.399213,0.0,728.3997199,0.0,0.0,0.1930526
155,728.399213,0.0,728.3997199,0.0,0.0,0.1930526
156,728.399213,0.0,728.3997199,0.0,0.0,0.1930526
157,728.399213,0.0,728.3997199,0.0,0.0,0.1930526
158,728.399213,0.0,728.3997199,0.0,0.0,0.1930526
159,0.0,0.0,6e-06,6e-06,0.0,0.0
160,0.0,0.0,6e-06,6e-06,0.0,0.0
161,0.0,0.0,6e-06,6e-06,0.0,0.0
162,0.0,0.0,6e-06,6e-06,0.0,0.0
163,0.0,0.0,6e-06,6e-06,0.0,0.0
164,0.0,0.0,6e-06,6e-06,0.0,0.0
165,0.0,0.0,6e-06,6e-06,0.0,0.0
166,0.0,0.0,6e-06,6e-06,0.0,0.0
167,0.0,0.0,6e-06,6e-06,0.0,0.0
168,0.0,0.0,6e-06,6e-06,0.0,0.0
169,1889.9500548,0.0,1889.94939,6e-06,0.0,0.5003224
170,1889.9500548,0.0,1889.94939,6e-06,0.0,0.5003224
171,1889.9500548,0.0,1889.94939,6e-06,0.0,0.5003224
172,1889.9500548,0.0,1889.94939,6e-06,0.0,0.5003224
173,1889.9500548,0.0,1889.94939,6e-06,0.0,0.5003224
174,1889.9500548,0.0,1889.94939,6e-06,0.0,0.5003224
175,1889.9500548,0.0,1889.94939,6e-06,0.0,0.5003224
176,1889.9500548,0.0,1889.94939,6e-06,0.0,0.5003224
177,1889.9500548,0.0,1889.94939,6e-06,0.0,0.5003224
178,1889.9500548,0.0,1889.94939,6e-06,0.0,0.5003224
179,0.0,0.0,0.0,0.0,0.0,0.0
180,0.0,0.0,0.0,0.0,0.0,0.0
181,0.0,0.0,0.0,0.0,0.0,0.0
182,0.0,0.0,0.0,0.0,0.0,0.0
183,0.0,0.0,0.0,0.0,0.0,0.0
184,0.0,0.0,0.0,0.0,0.0,0.0
185,0.0,0.0,0.0,0.0,0.0,0.0
186,0.0,0.0,0.0,0.0,0.0,0.0
187,0.0,0.0,0.0,0.0,0.0,0.0
188,0.0,0.0,0.0,0.0,0.0,0.0
189,13.8289961,0.0,13.8290125,6e-06,0.0,0.0035516
190,13.8289961,0.0,13.8290125,6e-06,0.0,0.0035516
191,13.8289961,0.0,13.8290125,6e-06,0.0,0.0035516
192,13.8289961,0.0,13.8290125,6e-06,0.0,0.0035516
193,13.8289961,0.0,13.8290125,6e-06,0.0,0.0035516
194,13.8289961,0.0,13.8290125,6e-06,0.0,0.0035516
195,13.8289961,0.0,13.8290125,6e-06,0.0,0.0035516
196,13.8289961,0.0,13.8290125,6e-06,0.0,0.0035516
197,13.8289961,0.0,13.8290125,6e-06,0.0,0.0035516
198,13.8289961,0.0,13.8290125,6e-06,0.0,0.0035516
199,2680.4685921,0.0,2680.4665053,6e-06,0.0,0.7103325
200,2680.4685921,0.0,2680.4665053,6e-06,0.0,0.7103325
201,2680.4685921,0.0,2680.4665053,6e-06,0.0,0.7103325
202,2680.4685921,0.0,2680.4665053,6e-06,0.0,0.7103325
203,2680.4685921,0.0,2680.4665053,6e-06,0.0,0.7103325
204,2680.4685921,0.0,2680.4665053,6e-06,0.0,0.7103325
205,2680.4685921,0.0,2680.4665053,6e-06,0.0,0.7103325
206,2680.4685921,0.0,2680.4665053,6e-06,0.0,0.7103325
207,2680.4685921,0.0,2680.4665053,6e-06,0.0,0.7103325
208,2680.4685921,0.0,2680.4665053,6e-06,0.0,0.7103325
209,0.0,0.0,0.0,0.0,0.0,0.0
210,0.0,0.0,0.0,0.0,0.0,0.0
211,0.0,0.0,0.0,0.0,0.0,0.0
212,0.0,0.0,0.0,0.0,0.0,0.0
213,0.0,0.0,0.0,0.0,0.0,0.0
214,0.0,0.0,0.0,0.0,0.0,0.0
215,0.0,0.0,0.0,0.0,0.0,0.0
216,0.0,0.0,0.0,0.0,0.0,0.0
217,0.0,0.0,0.0,0.0,0.0,0.0
218,0.0,0.0,0.0,0.0,0.0,0.0
219,6.204775,0.0,6.2047796,6e-06,0.0,0.0017053
220,6.204775,0.0,6.2047796,6e-06,0.0,0.0017053
221,6.204775,0.0,6.2047796,6e-06,0.0,0.0017053
222,6.204775,0.0,6.2047796,6e-06,0.0,0.0017053
223,6.204775,0.0,6.2047796,6e-06,0.0,0.0017053
224,6.204775,0.0,6.2047796,6e-06,0.0,0.0017053
225,6.204775,0.0,6.2047796,6e-06,0.0,0.0017053
226,6.204775,0.0,6.2047796,6e-06,0.0,0.0017053
227,6.204775,0.0,6.2047796,6e-06,0.0,0.0017053
228,6.204775,0.0,6.2047796,6e-06,0.0,0.0017053
229,2685.9362313,0.0,2685.9371796,9.4e-06,0.0,0.7117806
230,2685.9362313,0.0,2685.9371796,9.4e-06,0.0,0.7117806
231,2685.9362313,0.0,2685.9371796,9.4e-06,0.0,0.7117806
232,2685.9362313,0.0,2685.9371796,9.4e-06,0.0,0.7117806
233,2685.9362313,0.0,2685.9371796,9.4e-06,0.0,0.7117806
234,2685.9362313,0.0,2685.9371796,9.4e-06,0.0,0.7117806
235,2685.9362313,0.0,2685.9371796,9.4e-06,0.0,0.7117806
236,2685.9362313,0.0,2685.9371796,9.4e-06,0.0,0.7117806
237,2685.9362313,0.0,2685.9371796,9.4e-06,0.0,0.7117806
238,2685.9362313,0.0,2685.9371796,9.4e-06,0.0,0.7117806
239,1377.0847806,0.0,1377.0846836,0.0,0.0,0.3649717
240,1377.0847806,0.0,1377.0846836,0.0,0.0,0.3649717
241,1377.0847806,0.0,1377.0846836,0.0,0.0,0.3649717
242,1377.0847806,0.0,1377.0846836,0.0,0.0,0.3649717
243,1377.0847806,0.0,1377.0846836,0.0,0.0,0.3649717
244,1377.0847806,0.0,1377.0846836,0.0,0.0,0.3649717
245,1377.0847806,0.0,1377.0846836,0.0,0.0,0.3649717
