snapshot_count,link_A_capacity,link_A_usage_current_value,link_A_usage_rate,link_B_capacity,link_B_usage_current_value,link_B_usage_rate,link_C_capacity,link_C_usage_current_value,link_C_usage_rate,link_D_capacity,link_D_usage_current_value,link_D_usage_rate,link_E_capacity,link_E_usage_current_value,link_E_usage_rate,link_F_capacity,link_F_usage_current_value,link_F_usage_rate
39,10000000.0,0.0,0.0,10000000.0,0.0,0.0,10000000.0,0.0,0.0,10000000.0,0.0,0.0,10000000.0,0.0,0.0,10000000.0,0.0,0.0
40,10000000.0,16802527.0,1.6802527,10000000.0,0.0,0.0,10000000.0,16802569.0,1.6802569,10000000.0,94.0,9.4e-06,10000000.0,0.0,0.0,10000000.0,10019.0,0.0010019
41,10000000.0,16802527.0,1.6802527,10000000.0,0.0,0.0,10000000.0,16802569.0,1.6802569,10000000.0,94.0,9.4e-06,10000000.0,0.0,0.0,10000000.0,10019.0,0.0010019
42,10000000.0,16802527.0,1.6802527,10000000.0,0.0,0.0,10000000.0,16802569.0,1.6802569,10000000.0,94.0,9.4e-06,10000000.0,0.0,0.0,10000000.0,10019.0,0.0010019
43,10000000.0,16802527.0,1.6802527,10000000.0,0.0,0.0,10000000.0,16802569.0,1.6802569,10000000.0,94.0,9.4e-06,10000000.0,0.0,0.0,10000000.0,10019.0,0.0010019
44,10000000.0,16802527.0,1.6802527,10000000.0,0.0,0.0,10000000.0,16802569.0,1.6802569,10000000.0,94.0,9.4e-06,10000000.0,0.0,0.0,10000000.0,10019.0,0.0010019
45,10000000.0,16802527.0,1.6802527,10000000.0,0.0,0.0,10000000.0,16802569.0,1.6802569,10000000.0,94.0,9.4e-06,10000000.0,0.0,0.0,10000000.0,10019.0,0.0010019
46,10000000.0,16802527.0,1.6802527,10000000.0,0.0,0.0,10000000.0,16802569.0,1.6802569,10000000.0,94.0,9.4e-06,10000000.0,0.0,0.0,10000000.0,10019.0,0.0010019
47,10000000.0,16802527.0,1.6802527,10000000.0,0.0,0.0,10000000.0,16802569.0,1.6802569,10000000.0,94.0,9.4e-06,10000000.0,0.0,0.0,10000000.0,10019.0,0.0010019
48,10000000.0,16802527.0,1.6802527,10000000.0,0.0,0.0,10000000.0,16802569.0,1.6802569,10000000.0,94.0,9.4e-06,10000000.0,0.0,0.0,10000000.0,10019.0,0.0010019
49,10000000.0,16802527.0,1.6802527,10000000.0,0.0,0.0,10000000.0,16802569.0,1.6802569,10000000.0,94.0,9.4e-06,10000000.0,0.0,0.0,10000000.0,10019.0,0.0010019
50,10000000.0,0.0,0.0,10000000.0,0.0,0.0,10000000.0,60.0,6e-06,10000000.0,60.0,6e-06,10000000.0,0.0,0.0,10000000.0,0.0,0.0
51,10000000.0,0.0,0.0,10000000.0,0.0,0.0,10000000.0,60.0,6e-06,10000000.0,60.0,6e-06,10000000.0,0.0,0.0,10000000.0,0.0,0.0
52,10000000.0,0.0,0.0,10000000.0,0.0,0.0,10000000.0,60.0,6e-06,10000000.0,60.0,6e-06,10000000.0,0.0,0.0,10000000.0,0.0,0.0
53,10000000.0,0.0,0.0,10000000.0,0.0,0.0,10000000.0,60.0,6e-06,10000000.0,60.0,6e-06,10000000.0,0.0,0.0,10000000.0,0.0,0.0
54,10000000.0,0.0,0.0,10000000.0,0.0,0.0,10000000.0,60.0,6e-06,10000000.0,60.0,6e-06,10000000.0,0.0,0.0,10000000.0,0.0,0.0
55,10000000.0,0.0,0.0,10000000.0,0.0,0.0,10000000.0,60.0,6e-06,10000000.0,60.0,6e-06,10000000.0,0.0,0.0,10000000.0,0.0,0.0
56,10000000.0,0.0,0.0,10000000.0,0.0,0.0,10000000.0,60.0,6e-06,10000000.0,60.0,6e-06,10000000.0,0.0,0.0,10000000.0,0.0,0.0
57,10000000.0,0.0,0.0,10000000.0,0.0,0.0,10000000.0,60.0,6e-06,10000000.0,60.0,6e-06,10000000.0,0.0,0.0,10000000.0,0.0,0.0
58,10000000.0,0.0,0.0,10000000.0,0.0,0.0,10000000.0,60.0,6e-06,10000000.0,60.0,6e-06,10000000.0,0.0,0.0,10000000.0,0.0,0.0
59,10000000.0,0.0,0.0,10000000.0,0.0,0.0,10000000.0,60.0,6e-06,10000000.0,60.0,6e-06,10000000.0,0.0,0.0,10000000.0,0.0,0.0
60,10000000.0,83978086.0,8.3978086,10000000.0,0.0,0.0,10000000.0,83978053.0,8.3978053,10000000.0,0.0,0.0,10000000.0,0.0,0.0,10000000.0,19700.0,0.00197
61,10000000.0,83978086.0,8.3978086,10000000.0,0.0,0.0,10000000.0,83978053.0,8.3978053,10000000.0,0.0,0.0,10000000.0,0.0,0.0,10000000.0,19700.0,0.00197
62,10000000.0,83978086.0,8.3978086,10000000.0,0.0,0.0,10000000.0,83978053.0,8.3978053,10000000.0,0.0,0.0,10000000.0,0.0,0.0,10000000.0,19700.0,0.00197
63,10000000.0,83978086.0,8.3978086,10000000.0,0.0,0.0,10000000.0,83978053.0,8.3978053,10000000.0,0.0,0.0,10000000.0,0.0,0.0,10000000.0,19700.0,0.00197
64,10000000.0,83978086.0,8.3978086,10000000.0,0.0,0.0,10000000.0,83978053.0,8.3978053,10000000.0,0.0,0.0,10000000.0,0.0,0.0,10000000.0,19700.0,0.00197
65,10000000.0,83978086.0,8.3978086,10000000.0,0.0,0.0,10000000.0,83978053.0,8.3978053,10000000.0,0.0,0.0,10000000.0,0.0,0.0,10000000.0,19700.0,0.00197
66,10000000.0,83978086.0,8.3978086,10000000.0,0.0,0.0,10000000.0,83978053.0,8.3978053,10000000.0,0.0,0.0,10000000.0,0.0,0.0,10000000.0,19700.0,0.00197
67,10000000.0,83978086.0,8.3978086,10000000.0,0.0,0.0,10000000.0,83978053.0,8.3978053,10000000.0,0.0,0.0,10000000.0,0.0,0.0,10000000.0,19700.0,0.00197
68,10000000.0,83978086.0,8.3978086,10000000.0,0.0,0.0,10000000.0,83978053.0,8.3978053,10000000.0,0.0,0.0,10000000.0,0.0,0.0,10000000.0,19700.0,0.00197
69,10000000.0,83978086.0,8.3978086,10000000.0,0.0,0.0,10000000.0,83978053.0,8.3978053,10000000.0,0.0,0.0,10000000.0,0.0,0.0,10000000.0,19700.0,0.00197
70,10000000.0,0.0,0.0,10000000.0,0.0,0.0,10000000.0,60.0,6e-06,10000000.0,60.0,6e-06,10000000.0,0.0,0.0,10000000.0,0.0,0.0
71,10000000.0,0.0,0.0,10000000.0,0.0,0.0,10000000.0,60.0,6e-06,10000000.0,60.0,6e-06,10000000.0,0.0,0.0,10000000.0,0.0,0.0
72,10000000.0,0.0,0.0,10000000.0,0.0,0.0,10000000.0,60.0,6e-06,10000000.0,60.0,6e-06,10000000.0,0.0,0.0,10000000.0,0.0,0.0
73,10000000.0,0.0,0.0,10000000.0,0.0,0.0,10000000.0,60.0,6e-06,10000000.0,60.0,6e-06,10000000.0,0.0,0.0,10000000.0,0.0,0.0
74,10000000.0,0.0,0.0,10000000.0,0.0,0.0,10000000.0,60.0,6e-06,10000000.0,60.0,6e-06,10000000.0,0.0,0.0,10000000.0,0.0,0.0
75,10000000.0,0.0,0.0,10000000.0,0.0,0.0,10000000.0,60.0,6e-06,10000000.0,60.0,6e-06,10000000.0,0.0,0.0,10000000.0,0.0,0.0
76,10000000.0,0.0,0.0,10000000.0,0.0,0.0,10000000.0,60.0,6e-06,10000000.0,60.0,6e-06,10000000.0,0.0,0.0,10000000.0,0.0,0.0
77,10000000.0,0.0,0.0,10000000.0,0.0,0.0,10000000.0,60.0,6e-06,10000000.0,60.0,6e-06,10000000.0,0.0,0.0,10000000.0,0.0,0.0
78,10000000.0,0.0,0.0,10000000.0,0.0,0.0,10000000.0,60.0,6e-06,10000000.0,60.0,6e-06,10000000.0,0.0,0.0,10000000.0,0.0,0.0
79,10000000.0,0.0,0.0,10000000.0,0.0,0.0,10000000.0,60.0,6e-06,10000000.0,60.0,6e-06,10000000.0,0.0,0.0,10000000.0,0.0,0.0
80,10000000.0,168025575.0,16.8025575,10000000.0,0.0,0.0,10000000.0,168025606.0,16.8025606,10000000.0,60.0,6e-06,10000000.0,0.0,0.0,10000000.0,51746.0,0.0051746
81,10000000.0,168025575.0,16.8025575,10000000.0,0.0,0.0,10000000.0,168025606.0,16.8025606,10000000.0,60.0,6e-06,10000000.0,0.0,0.0,10000000.0,51746.0,0.0051746
82,10000000.0,168025575.0,16.8025575,10000000.0,0.0,0.0,10000000.0,168025606.0,16.8025606,10000000.0,60.0,6e-06,10000000.0,0.0,0.0,10000000.0,51746.0,0.0051746
83,10000000.0,168025575.0,16.8025575,10000000.0,0.0,0.0,10000000.0,168025606.0,16.8025606,10000000.0,60.0,6e-06,10000000.0,0.0,0.0,10000000.0,51746.0,0.0051746
84,10000000.0,168025575.0,16.8025575,10000000.0,0.0,0.0,10000000.0,168025606.0,16.8025606,10000000.0,60.0,6e-06,10000000.0,0.0,0.0,10000000.0,51746.0,0.0051746
85,10000000.0,168025575.0,16.8025575,10000000.0,0.0,0.0,10000000.0,168025606.0,16.8025606,10000000.0,60.0,6e-06,10000000.0,0.0,0.0,10000000.0,51746.0,0.0051746
86,10000000.0,168025575.0,16.8025575,10000000.0,0.0,0.0,10000000.0,168025606.0,16.8025606,10000000.0,60.0,6e-06,10000000.0,0.0,0.0,10000000.0,51746.0,0.0051746
87,10000000.0,168025575.0,16.8025575,10000000.0,0.0,0.0,10000000.0,168025606.0,16.8025606,10000000.0,60.0,6e-06,10000000.0,0.0,0.0,10000000.0,51746.0,0.0051746
88,10000000.0,168025575.0,16.8025575,10000000.0,0.0,0.0,10000000.0,168025606.0,16.8025606,10000000.0,60.0,6e-06,10000000.0,0.0,0.0,10000000.0,51746.0,0.0051746
89,10000000.0,168025575.0,16.8025575,10000000.0,0.0,0.0,10000000.0,168025606.0,16.8025606,10000000.0,60.0,6e-06,10000000.0,0.0,0.0,10000000.0,51746.0,0.0051746
90,10000000.0,0.0,0.0,10000000.0,0.0,0.0,10000000.0,0.0,0.0,10000000.0,0.0,0.0,10000000.0,0.0,0.0,10000000.0,0.0,0.0
91,10000000.0,0.0,0.0,10000000.0,0.0,0.0,10000000.0,0.0,0.0,10000000.0,0.0,0.0,10000000.0,0.0,0.0,10000000.0,0.0,0.0
92,10000000.0,0.0,0.0,10000000.0,0.0,0.0,10000000.0,0.0,0.0,10000000.0,0.0,0.0,10000000.0,0.0,0.0,10000000.0,0.0,0.0
93,10000000.0,0.0,0.0,10000000.0,0.0,0.0,10000000.0,0.0,0.0,10000000.0,0.0,0.0,10000000.0,0.0,0.0,10000000.0,0.0,0.0
94,10000000.0,0.0,0.0,10000000.0,0.0,0.0,10000000.0,0.0,0.0,10000000.0,0.0,0.0,10000000.0,0.0,0.0,10000000.0,0.0,0.0
95,10000000.0,0.0,0.0,10000000.0,0.0,0.0,10000000.0,0.0,0.0,10000000.0,0.0,0.0,10000000.0,0.0,0.0,10000000.0,0.0,0.0
96,10000000.0,0.0,0.0,10000000.0,0.0,0.0,10000000.0,0.0,0.0,10000000.0,0.0,0.0,10000000.0,0.0,0.0,10000000.0,0.0,0.0
97,10000000.0,0.0,0.0,10000000.0,0.0,0.0,10000000.0,0.0,0.0,10000000.0,0.0,0.0,10000000.0,0.0,0.0,10000000.0,0.0,0.0
98,10000000.0,0.0,0.0,10000000.0,0.0,0.0,10000000.0,0.0,0.0,10000000.0,0.0,0.0,10000000.0,0.0,0.0,10000000.0,0.0,0.0
99,10000000.0,0.0,0.0,10000000.0,0.0,0.0,10000000.0,0.0,0.0,10000000.0,0.0,0.0,10000000.0,0.0,0.0,10000000.0,0.0,0.0
100,10000000.0,419909640.0,41.990964,10000000.0,0.0,0.0,10000000.0,419909573.0,41.9909573,10000000.0,60.0,6e-06,10000000.0,0.0,0.0,10000000.0,114315.0,0.0114315
101,10000000.0,419909640.0,41.990964,10000000.0,0.0,0.0,10000000.0,419909573.0,41.9909573,10000000.0,60.0,6e-06,10000000.0,0.0,0.0,10000000.0,114315.0,0.0114315
102,10000000.0,419909640.0,41.990964,10000000.0,0.0,0.0,10000000.0,419909573.0,41.9909573,10000000.0,60.0,6e-06,10000000.0,0.0,0.0,10000000.0,114315.0,0.0114315
103,10000000.0,419909640.0,41.990964,10000000.0,0.0,0.0,10000000.0,419909573.0,41.9909573,10000000.0,60.0,6e-06,10000000.0,0.0,0.0,10000000.0,114315.0,0.0114315
104,10000000.0,419909640.0,41.990964,10000000.0,0.0,0.0,10000000.0,419909573.0,41.9909573,10000000.0,60.0,6e-06,10000000.0,0.0,0.0,10000000.0,114315.0,0.0114315
105,10000000.0,419909640.0,41.990964,10000000.0,0.0,0.0,10000000.0,419909573.0,41.9909573,10000000.0,60.0,6e-06,10000000.0,0.0,0.0,10000000.0,114315.0,0.0114315
106,10000000.0,419909640.0,41.990964,10000000.0,0.0,0.0,10000000.0,419909573.0,41.9909573,10000000.0,60.0,6e-06,10000000.0,0.0,0.0,10000000.0,114315.0,0.0114315
107,10000000.0,419909640.0,41.990964,10000000.0,0.0,0.0,10000000.0,419909573.0,41.9909573,10000000.0,60.0,6e-06,10000000.0,0.0,0.0,10000000.0,114315.0,0.0114315
108,10000000.0,419909640.0,41.990964,10000000.0,0.0,0.0,10000000.0,419909573.0,41.9909573,10000000.0,60.0,6e-06,10000000.0,0.0,0.0,10000000.0,114315.0,0.0114315
109,10000000.0,419909640.0,41.990964,10000000.0,0.0,0.0,10000000.0,419909573.0,41.9909573,10000000.0,60.0,6e-06,10000000.0,0.0,0.0,10000000.0,114315.0,0.0114315
110,10000000.0,0.0,0.0,10000000.0,0.0,0.0,10000000.0,60.0,6e-06,10000000.0,60.0,6e-06,10000000.0,0.0,0.0,10000000.0,0.0,0.0
111,10000000.0,0.0,0.0,10000000.0,0.0,0.0,10000000.0,60.0,6e-06,10000000.0,60.0,6e-06,10000000.0,0.0,0.0,10000000.0,0.0,0.0
112,10000000.0,0.0,0.0,10000000.0,0.0,0.0,10000000.0,60.0,6e-06,10000000.0,60.0,6e-06,10000000.0,0.0,0.0,10000000.0,0.0,0.0
